RCDTS,School Name,ambitious_instruction,collaborative_teachers,involved_families,supportive_environment,Year
1.50163E+14,Fort Dearborn Elem School,63.0,81.0,85.0,49.0,2021
1.50163E+14,Foster Park Elem School,75.0,45.0,66.0,56.0,2021
1.50163E+14,Franklin Elem Fine Arts Center,53.0,39.0,66.0,54.0,2021
1.50163E+14,Frazier Perspectives Magnet ES,45.0,27.0,32.0,51.0,2021
1.50163E+14,Fuller Elem School,71.0,34.0,21.0,57.0,2021
1.50163E+14,Fulton Elem School,58.0,57.0,29.0,61.0,2021
1.50163E+14,Funston Elem School,,13.0,43.0,,2021
1.50163E+14,Gage Park High School,60.0,43.0,34.0,64.0,2021
1.50163E+14,Gale Elem Community Academy,29.0,37.0,50.0,55.0,2021
1.50163E+14,Galileo Elem Math & Sci Schol Acd,53.0,42.0,69.0,58.0,2021
1.50163E+14,Gallistel Elem Language Academy,48.0,63.0,63.0,52.0,2021
1.50163E+14,Garcia Lorca Elem School,58.0,53.0,62.0,64.0,2021
1.50163E+14,Garvey  M Elem School,47.0,54.0,48.0,54.0,2021
1.50163E+14,Garvy  J Elem School,58.0,48.0,60.0,63.0,2021
1.50163E+14,Gary Elem School,52.0,41.0,58.0,67.0,2021
1.50163E+14,Gillespie Elem School,55.0,52.0,56.0,56.0,2021
1.50163E+14,Goethe Elem School,60.0,70.0,83.0,66.0,2021
1.50163E+14,Goode STEM Academy HS,59.0,67.0,74.0,81.0,2021
1.50163E+14,Goudy Technology Academy,69.0,80.0,76.0,57.0,2021
1.50163E+14,Graham  A Elem School,58.0,53.0,43.0,56.0,2021
1.50163E+14,Gray Elem School,,84.0,66.0,,2021
15016299025241,Great Lakes Academy Charter ES,50.0,24.0,52.0,56.0,2021
1.50163E+14,Greeley Elem School,51.0,65.0,82.0,53.0,2021
1.50163E+14,Green  W Elem School,66.0,70.0,73.0,61.0,2021
1.50163E+14,Greene N Elem School,96.0,62.0,76.0,99.0,2021
1.50163E+14,Gregory Math & Sci Elem Academy,33.0,29.0,25.0,53.0,2021
1.50163E+14,Gresham Elem School,71.0,77.0,41.0,68.0,2021
1.50163E+14,Grimes Elem School,53.0,50.0,57.0,60.0,2021
1.50163E+14,Grissom Elem School,42.0,33.0,65.0,45.0,2021
1.50163E+14,Gunsaulus Elem Scholastic Academy,61.0,54.0,77.0,77.0,2021
1.50163E+14,Haines Elem School,46.0,62.0,84.0,52.0,2021
1.50163E+14,Hale Elem School,53.0,63.0,71.0,68.0,2021
1.50163E+14,Haley Elem Academy,,60.0,54.0,,2021
1.50163E+14,Hamilton Elem School,67.0,53.0,71.0,70.0,2021
1.50163E+14,Hamline Elem School,,47.0,53.0,,2021
1.50163E+14,Hammond Elem School,35.0,53.0,57.0,57.0,2021
1.50163E+14,Hampton Elem Fine & Perf Arts Sch,40.0,42.0,55.0,52.0,2021
1.50163E+14,Hancock College Preparatory HS,88.0,77.0,80.0,85.0,2021
1.50163E+14,Hanson Park Elem School,54.0,44.0,67.0,56.0,2021
1.50163E+14,Harlan Community Academy HS,59.0,59.0,45.0,52.0,2021
1.50163E+14,Harper High School,93.0,82.0,86.0,83.0,2021
1.50163E+14,Harriet Tubman Elem School,,,,,2021
1.50163E+14,Harvard Elem School,,48.0,46.0,,2021
1.50163E+14,Haugan Elem School,,,,,2021
1.50163E+14,Hawthorne Elem Scholastic Academy,73.0,43.0,76.0,70.0,2021
1.50163E+14,Hay Elem Community Academy,48.0,26.0,34.0,61.0,2021
1.50163E+14,Hayt Elem School,,33.0,54.0,,2021
1.50163E+14,Healy Elem School,42.0,69.0,74.0,44.0,2021
1.50163E+14,Hearst Elem School,,19.0,30.0,,2021
1.50163E+14,Hedges Elem School,54.0,32.0,50.0,63.0,2021
1.50163E+14,Hefferan Elem School,69.0,44.0,54.0,70.0,2021
1.50163E+14,Henderson Elem School,85.0,62.0,47.0,79.0,2021
1.50163E+14,Hendricks Elem Community Academy,,,,,2021
1.50163E+14,Henry Elem School,,,,,2021
1.50163E+14,Hernandez Middle School,54.0,67.0,64.0,74.0,2021
1.50163E+14,Herzl Elem School,,56.0,47.0,,2021
1.50163E+14,Hibbard Elem School,,36.0,54.0,,2021
1.50163E+14,Higgins Elem Community Academy,59.0,64.0,61.0,41.0,2021
1.50163E+14,Hirsch Metropolitan High School,,67.0,40.0,,2021
1.50163E+14,Hitch Elem School,55.0,68.0,67.0,58.0,2021
