RCDTS,School ID,Network,School Name,2020 CA,2021 CA,2022 CA,2023 CA,2024 CA,,,,,,,
150162990252160,610363,Network 2,Disney Elem Magnet School,4.0%,9.6%,23.5%,23.2%,23.6%,,,,,,,
150162990252066,609788,Network 10,Barnard Elem Comp Math & Sci Ctr,4.0%,23.5%,41.6%,33.5%,36.4%,,,,,,,
150162990252078,609796,Network 1,Beaubien Elem School,4.1%,7.8%,22.6%,21.9%,25.4%,,,,,,,
150162990252213,609935,Network 13,Gallistel Elem Language Academy,4.1%,9.2%,39.6%,35.3%,25.1%,,,,,,,
150162990252089,609804,Network 2,Mosaic School of Fine Arts,4.1%,14.3%,37.6%,35.4%,38.6%,,,,,,,
150162990252300,610027,ISP,Kipling Elem School,4.1%,20.6%,32.7%,27.5%,29.3%,,,,,,,
15016299025270C,400153,Charter,Acero Chtr Sch Network - Brighton Park Elem School,4.1%,32.9%,39.8%,30.4%,22.0%,,,,,,,
150162990252402,610126,Network 9,Pershing Elem Humanities Magnet,4.1%,34.9%,36.6%,30.4%,37.9%,,,,,,,
150162990252209,609928,Network 9,James Farmer Jr. Elementary,4.1%,41.1%,62.3%,49.4%,46.7%,,,,,,,
150162990252053,609774,Network 4,Alcott Elem School,4.2%,2.3%,11.6%,12.8%,15.4%,,,,,,,
150162990252268,609995,Network 1,Hitch Elem School,4.2%,7.4%,25.5%,24.8%,24.7%,,,,,,,
150162990252349,610070,Network 2,McPherson Elem School,4.2%,9.9%,22.6%,20.9%,23.4%,,,,,,,
150162990252269,609996,ISP,Holden Elem School,4.2%,15.2%,38.5%,29.0%,36.9%,,,,,,,
150162990252123,609844,Network 9,Carter Elem School,4.2%,19.2%,37.3%,30.0%,35.0%,,,,,,,
150162990252244,60996900.0%,Network 9,Bret Harte Elem School,4.2%,21.8%,41.0%,35.0%,45.8%,,,,,,,
150162990252109,60982900.0%,Network 8,Burroughs Elem School,4.3%,19.8%,32.3%,31.9%,29.8%,,,,,,,
150162990252954,61052100.0%,ISP,Davis M Magnet Elem School,4.3%,23.8%,36.4%,24.0%,27.9%,,,,,,,
150162990252475,61019400.0%,Network 5,Sumner Elem Math & Sci Comm Acad,4.3%,31.0%,31.9%,22.8%,23.9%,,,,,,,
15016299025217C,40003500.0%,Charter,Chicago Math & Sci Elem Charter,4.4%,5.7%,20.8%,18.1%,22.9%,,,,,,,
150162990252203,609918,Network 2,Field Elem School,4.4%,8.7%,29.6%,32.0%,39.3%,,,,,,,
